T = 40
Number Of Key;Time Insert
100000;6.99143
200000;14.3461
300000;22.5269
400000;31.2036
500000;36.8337
600000;41.4146
700000;47.45
800000;56.1781
900000;64.8534
1000000;73.5765
1100000;81.8945
1200000;86.558
1300000;91.3531
1400000;99.5366
1500000;108.774
1600000;118.257
1700000;127.637
1800000;135.024
1900000;139.986
2000000;145.769
2100000;155.487
2200000;165.221
2300000;175.131
2400000;184.95
2500000;194.826
2600000;204.795
2700000;214.811
2800000;224.979
2900000;235.052
3000000;245.268
